model,method,delta,seed,converged,n_iterations,final_f,theta_error_norm,time_s
gst_coreg2_small,AD,10.0,2,1,60,-25808.06621709466,3.607192792327506,26.97
gst_coreg2_small,AD,10.0,3,1,25,-11244.694335207343,9.026590780838337,22.11
gst_coreg2_small,AD,10.0,4,1,63,-28083.222406834364,3.2524244645442395,23.72
gst_coreg2_small,FD,0.3,0,1,22,-28083.205084234476,3.2500673808702123,37.08
gst_coreg2_small,FD,0.3,1,1,27,-28083.22221454978,3.2523998766551223,45.53
gst_coreg2_small,FD,0.3,2,1,29,-28083.222349494696,3.25243323837283,46.77
gst_coreg2_small,FD,0.3,3,1,35,-28083.222219347954,3.252429812326481,56.52
gst_coreg2_small,FD,0.3,4,1,20,-28083.219614952803,3.251428998126452,33.89
gst_coreg2_small,FD,0.5,0,1,21,-28083.222402453423,3.252463359221941,33.75
gst_coreg2_small,FD,0.5,1,1,35,-28083.22182843089,3.2523297224453893,55.9
gst_coreg2_small,FD,0.5,2,1,33,-28083.22231295705,3.252206449346248,58.32
gst_coreg2_small,FD,0.5,3,1,25,-28083.174489676952,3.249115368976765,50.36
gst_coreg2_small,FD,0.5,4,1,22,-28083.200713306665,3.25600718182024,39.62
gst_coreg2_small,FD,1.0,0,1,33,-28083.221456050873,3.252692918892901,53.43
gst_coreg2_small,FD,1.0,1,1,30,-28083.222241342068,3.2523371396239074,47.72
gst_coreg2_small,FD,1.0,2,1,27,-28083.222339630127,3.2523977247792293,42.3
gst_coreg2_small,FD,1.0,3,1,22,-28083.214865207672,3.250776631161953,44.64
gst_coreg2_small,FD,1.0,4,1,37,-28083.222387999296,3.2524367871998625,70.65
gst_coreg2_small,FD,2.0,0,1,42,-28083.22235363722,3.2523994888778924,79.05
gst_coreg2_small,FD,2.0,1,1,38,-28083.222400397062,3.2524515042812876,60.84
gst_coreg2_small,FD,2.0,2,1,30,-28083.22206580639,3.2526467870480142,51.32
gst_coreg2_small,FD,2.0,3,1,37,-28083.20631057024,3.2555346552151905,63.62
gst_coreg2_small,FD,2.0,4,1,35,-28083.222176849842,3.252572724245493,54.91
gst_coreg2_small,FD,3.0,0,1,49,-28083.222404181957,3.2524095021310044,79.91
gst_coreg2_small,FD,3.0,1,1,34,-28083.221996814013,3.2522399942226023,51.83
gst_coreg2_small,FD,3.0,2,0,0,nan,nan,9.16
gst_coreg2_small,FD,3.0,3,1,42,-28083.219825387,3.252691215007068,63.72
gst_coreg2_small,FD,3.0,4,1,45,-28083.222285717726,3.2523495381696192,68.88
gst_coreg2_small,FD,5.0,0,1,55,-28083.22240650654,3.252431522932966,95.08
gst_coreg2_small,FD,5.0,1,1,51,-28083.22239869833,3.2524636926957484,78.07
gst_coreg2_small,FD,5.0,2,1,57,-28083.222299844027,3.2526894690697246,93.91
gst_coreg2_small,FD,5.0,3,0,0,nan,nan,23.6
gst_coreg2_small,FD,5.0,4,1,52,-28083.222404569387,3.2524529881554023,83.35
gst_coreg2_small,FD,7.0,0,1,66,-28083.222289413214,3.2522721107722665,110.8
gst_coreg2_small,FD,7.0,1,0,0,nan,nan,44.39
gst_coreg2_small,FD,7.0,2,0,0,nan,nan,48.06
gst_coreg2_small,FD,7.0,3,0,0,nan,nan,95.6
gst_coreg2_small,FD,7.0,4,1,57,-28083.22240009904,3.2524519585037677,96.09
gst_coreg2_small,FD,10.0,0,0,0,nan,nan,19.65
gst_coreg2_small,FD,10.0,1,0,0,nan,nan,87.43
gst_coreg2_small,FD,10.0,2,0,0,nan,nan,118.97
gst_coreg2_small,FD,10.0,3,1,20,-11054.870707437396,10.385106441633999,88.54
gst_coreg2_small,FD,10.0,4,1,64,-28083.22232839465,3.2524320390620702,128.66
gs_coreg2_small,AD,0.3,0,1,21,-20713.05348534882,0.22033058457134536,11.3
gs_coreg2_small,AD,0.3,1,1,12,-20713.04049116373,0.1875200544295697,10.52
gs_coreg2_small,AD,0.3,2,1,17,-20713.054723352194,0.2153185560366841,10.62
gs_coreg2_small,AD,0.3,3,1,17,-20713.054699525237,0.21665511380905353,10.54
gs_coreg2_small,AD,0.3,4,1,18,-20713.051300287247,0.20618157863361025,10.73
gs_coreg2_small,AD,0.5,0,1,26,-20713.054749026895,0.21401036939326867,11.12
gs_coreg2_small,AD,0.5,1,1,19,-20713.054755434394,0.21484646883841008,10.83
gs_coreg2_small,AD,0.5,2,1,18,-20713.054542928934,0.2128776362878387,10.96
gs_coreg2_small,AD,0.5,3,1,19,-20713.054693371058,0.21555373943161427,10.76
gs_coreg2_small,AD,0.5,4,1,18,-20713.05400943756,0.20994844394250148,10.65
gs_coreg2_small,AD,1.0,0,1,24,-20713.054752767086,0.21498358368694165,11.12
gs_coreg2_small,AD,1.0,1,1,21,-20713.052582263947,0.2104099546877267,10.8
gs_coreg2_small,AD,1.0,2,1,21,-20713.053881287575,0.2213179572676655,10.96
gs_coreg2_small,AD,1.0,3,1,23,-20713.053924128413,0.21868788997822797,11.06
gs_coreg2_small,AD,1.0,4,1,20,-20713.0483777076,0.22973489257619295,10.79
gs_coreg2_small,AD,2.0,0,1,30,-20713.054745733738,0.21444999810441717,11.45
gs_coreg2_small,AD,2.0,1,1,29,-20713.054733395576,0.21525807683013706,11.2
gs_coreg2_small,AD,2.0,2,1,25,-20713.04916408658,0.20197853582573003,11.04
gs_coreg2_small,AD,2.0,3,1,33,-20713.054706007242,0.21504178103867935,11.67
gs_coreg2_small,AD,2.0,4,1,31,-20713.054758876562,0.21490585579586544,11.57
gs_coreg2_small,AD,3.0,0,1,39,-20713.054745569825,0.21434881483449533,11.95
gs_coreg2_small,AD,3.0,1,1,39,-20713.054649442434,0.2149103925165442,12.29
gs_coreg2_small,AD,3.0,2,1,29,-20713.054751053452,0.21422157840286082,11.46
gs_coreg2_small,AD,3.0,3,1,32,-20713.054451927543,0.21505230869427214,11.44
gs_coreg2_small,AD,3.0,4,1,30,-20713.05367270112,0.221165581648883,11.54
gs_coreg2_small,AD,5.0,0,1,41,-20713.054760292172,0.214538520458697,12.74
gs_coreg2_small,AD,5.0,1,1,39,-20713.054755210876,0.21443476747349333,12.34
gs_coreg2_small,AD,5.0,2,1,37,-20713.054749131203,0.2150089114439788,12.03
gs_coreg2_small,AD,5.0,3,1,40,-20713.054718017578,0.2147167444928853,11.94
gs_coreg2_small,AD,5.0,4,1,43,-20713.05446535349,0.21620246364477355,12.46
gs_coreg2_small,AD,7.0,0,1,46,-20713.054746732116,0.21539683674304771,12.69
gs_coreg2_small,AD,7.0,1,1,46,-20713.05426812172,0.21645458714468235,12.83
gs_coreg2_small,AD,7.0,2,1,44,-20713.054709985852,0.21393743232336582,12.45
gs_coreg2_small,AD,7.0,3,1,42,-20713.054741069674,0.21503203617637495,12.51
gs_coreg2_small,AD,7.0,4,1,52,-20713.05440235138,0.21025685733784324,13.34
gs_coreg2_small,AD,10.0,0,1,38,-20713.0547170043,0.21512496122788055,12.25
gs_coreg2_small,AD,10.0,1,1,54,-20713.05476002395,0.21457926757812198,13.57
gs_coreg2_small,AD,10.0,2,1,46,-20713.05475063622,0.21402286591314926,13.26
